1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
172.9999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.383868154951737
0.0,173.98011428571397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28062430400804594,0.0
0.0,0.0,21.109999999999996,0.5915144002594405,0.004472135954999579,9.221856277166827,0.0,0.0,0.0,0.0,0.0,3.374414464732805,0.014444444444444444,0.0,0.0,0.0
0.0,0.0,0.5915144002594406,20.935000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02507132682112035,0.4573370123411649,0.0,0.0,0.0
0.0,0.0,0.00447213595499958,0.0,16.380000000000006,0.0,0.0,0.0,0.0,0.0,0.0,2.234972544065647,0.777406300177427,0.0,0.33599200139289026,0.0
0.0,0.0,9.221856277166832,0.0,0.0,50.74262295081969,0.0,0.0,0.0,0.0,0.0,0.45669208467921135,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,19.00000000000001,0.0,0.0,0.0,0.0,1.2674957414308952,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.000000000000002,0.0,0.0,0.0,0.0,0.0,0.08660254037844388,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.999999999999997,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.039999999999999994,0.25999999999999995,0.0
0.0,0.0,3.3744144647328036,0.025071326821120347,2.234972544065647,0.4566920846792113,1.267495741430895,0.0,0.0,0.0,0.0,5.461818181818183,0.26432494541317275,0.0,0.026650089544451302,0.0
0.0,0.0,0.014444444444444444,0.45733701234116503,0.777406300177427,0.0,0.0,0.0,0.0,0.0,0.0,0.2643249454131728,7.0666666666666655,0.0,0.014142135623730949,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.0,0.9999999999999998,1.1149999999999998,0.27999999999999997
0.0,0.2806243040080461,0.0,0.0,0.3359920013928902,0.0,0.0,0.0,0.08660254037844388,0.0,0.26,0.026650089544451305,0.014142135623730949,1.1149999999999998,4.619999999999999,0.9224999999999999
4.383868154951738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.9225,0.7699999999999999
